id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q2 Cleaned,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q4 Cleaned,Q5: What movie do you think of when thinking of this food item?,Q5 Cleaned,Q6: What drink would you pair with this food item?,Q6 Cleaned,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
714863,3,10,10,"Weekend dinner,At a party",20,20,none,N/A,regular coke,coca cola,Friends,None,Pizza
602805,2,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 Canadian Dollars,12,The Big Lebowski,the big lebowski,Ice Tea,ice tea,"Parents,Friends",A little (mild),Pizza
602526,3,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,6,Spider Man 2,spiderman,lemonade,lemonade,"Parents,Siblings,Friends",None,Pizza
497421,4,"I think at least 4 ingredients, such as flour, tomato, cheese, and oil.",4,"Weekend lunch,Weekend dinner,At a party",At most 30 CAD,30,Cloudy with a Chance of Meatballs ,cloudy with a chance of meatballs,Coke,coca cola,Friends,None,Pizza
389328,3,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,10,Goodfellas,goodfellas,Red Wine,red wine,"Siblings,Friends",A moderate amount (medium),Pizza
289931,3,"5: Cheese, sauce, dough, meet, vegetables",5,"Weekend lunch,Weekend dinner,At a party,Late night snack","One serving being two slices, I would expect to pay around $7",7,A Goofy Movie (the disney movie),a goofy movie,Pop like Coke ,coca cola,Friends,A little (mild),Pizza
620148,2,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,5,Dead Silence,dead silence,Sprite,sprite,"Friends,Strangers",A moderate amount (medium),Pizza
387155,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,12,la la land,la la land,water,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
516975,2,"21 (6 for the dough, 15 for the toppings)",21,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$2 - $3

 ",2-3,Harry Potter & The Philosopher's Stone,harry potter,Coke,coca cola,Friends,None,Pizza
630825,3,6,6,"Week day dinner,At a party",8 dollar,8,Transformer,transformer,Soup,soup,Parents,None,Pizza
614043,5,10,10,"Week day dinner,Weekend dinner,At a party,Late night snack",15,15,Ninja turtles ,ninja turtles,Coke,coca cola,"Siblings,Friends",None,Pizza
521125,4,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00,3.00,High School Musical 3,high school musical,Root beer,root beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
627780,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,8,Despicable Me,despicable me,Coke,coca cola,"Friends,Teachers",None,Pizza
492744,3,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,10,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Soda,soda,"Parents,Friends",A little (mild),Pizza
618747,2,"Bread flour (or pizza dough), Olive oil, Sugar, Tomato, Chess, Pepperoni",6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25.",6,Toy Story,toy story,"Soft drinks. For example, 7up",soft drinks for example up,Friends,None,Pizza
607815,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30 CAD,30,The Godfather,the godfather,Coke,coca cola,"Friends,Teachers",A little (mild),Pizza
601609,4,10,10,"Weekend dinner,At a party",6,6,Spiderman,spiderman,Diet Coke,diet coke,Friends,None,Pizza
602657,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,10,Pizza,N/A,cola,coca cola,"Friends,Teachers",None,Pizza
616449,4,Three,3,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5,5,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Sparkling Water,sparkling water,"Parents,Friends",A little (mild),Pizza
501893,4,"5: Flour, tomatoes, cheese, meat and basil leaves",5,"Weekend lunch,Weekend dinner,At a party",CAD20-25,20-25,Fast & Furious,fast and furious,Coke,coca cola,"Siblings,Friends",None,Pizza
507448,3,"Mushrooms, meat, cheese, potato, pepper",5,"Weekend dinner,At a party,Late night snack",20,20,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coke,coca cola,Friends,A little (mild),Pizza
606556,1,3,3,At a party,8 dollars,8,The Garfield Movie,garfield,Cola,coca cola,Teachers,A little (mild),Pizza
724326,3,"10-12 (Flour, water, yeast, salt, olive oil for the dough, tomato sauce, cheese, pepperoni, veggies and herbs)",10-12,"Week day lunch,Weekend lunch,At a party",Around $3 for one slice ,3,"""Spider-Man: No Way Home""",spiderman,Coca-Cola and iced tea,coca cola and ice tea,Friends,None,Pizza
616945,4,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,ratatouille,ratatouille,coca cola,coca cola,Teachers,A moderate amount (medium),Pizza
630962,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10,10,Five Nights At Freddies,five nights at freddies,Coca Cola,coca cola,"Friends,Teachers",None,Pizza
715814,2,"6 ingredients (tomato sauce, dough, cheese, sausage, mushroom, pepper). Besides these ordinary ones, other ingredients like olives, pineapples, and onions, etc. are also interesting, but overall, the above 6 are the most important (7 as sometimes pineapple is preferred).",6,"Week day lunch,Week day dinner,At a party","About 10 -13 CAD. Usually, it would be a good fit if the price is from 10.99 - 11.99 canadian dollars for a medium size one (that usually I can have for 2-3 meals).",10-13,"Not exactly movies, but I would prefer to watch some TV series when I am having pizzas. If movies specifically, I may think of cartoon movies or more ""hero""/marvel related ones, like Teenage Mutant Ninja Turtles, movies in marvel series, etc..",teenage mutant ninja turtles,"All sorts of carbonated drinks(e.g. coca-cola, pepsi, mirinda series drinks, fanta series drinks etc.). Non carbonated drinks are not preferred when I am having pizzas.",all sorts of carbonated drinks eg coca cola pepsi mirinda series drinks fanta series drinks etc non carbonated drinks are not preferred when i am having pizzas,"Parents,Friends,Teachers",A little (mild),Pizza
502799,2,8,8,"Weekend dinner,At a party",$10,10,Back to the future,back to the future,Ice tea,ice tea,"Parents,Siblings,Friends",None,Pizza
605278,2,"minimum 4 (cheese, tomato sauce, flour, water)",4,"Weekend dinner,At a party,Late night snack",$4,4,Godfather,godfather,Coke,coca cola,"Friends,Teachers,Strangers",A little (mild),Pizza
388888,3,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,Mystic Pizza,mystic pizza,Coke,coca cola,Friends,A little (mild),Pizza
519548,3,~5-6,5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,6,Spider man 2,spiderman,Coke,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
405521,4,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,4,futurama,futurama,coke,coca cola,Friends,A moderate amount (medium),Pizza
607410,3,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",About $13.,13,Iron Man I,iron man,Orange Fanta,orange fanta,"Siblings,Teachers",None,Pizza
715795,4,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13,13,Life of Pi,life of pi,Hot chocolate,hot chocolate,"Parents,Friends,Teachers",None,Pizza
625326,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3,3,Avengers,avengers,Soda,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,3,3 to 7,3-7,"Week day lunch,Weekend dinner,At a party,Late night snack",6 to 7 dollars,6-7,Despicable Me,despicable me,Mountain Dew,mountain dew,Friends,A little (mild),Pizza
634964,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,20,Spider-man,spiderman,Beer,beer,"Parents,Friends",None,Pizza
722500,3,10,10,"Weekend lunch,Weekend dinner,At a party,Late night snack",$15,15,Home Alone,home alone,coke,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602824,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 dollars,15,Any American movie,N/A,Soda,soda,"Parents,Siblings,Friends",None,Pizza
618355,2,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,king kong,king kong,coke,coca cola,"Friends,Teachers,Strangers",None,Pizza
611097,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,10,Home Alone,home alone,coke,coca cola,"Siblings,Friends",A little (mild),Pizza
634328,2,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Teenage Mutant Ninja Turtles ,teenage mutant ninja turtles,Soda,soda,"Parents,Siblings,Friends",None,Pizza
607160,2,10,10,At a party,"$15 for a whole pizza

$3 for a slice",15,cloudy with a chance of meatballs,cloudy with a chance of meatballs,diet coke,diet coke,Teachers,A little (mild),Pizza
728522,3,6,6,"Week day dinner,Weekend dinner,At a party,Late night snack",12,12,Marvel Movies,N/A,Diet Pepsi,diet pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
718570,3,5,5,"Week day lunch,Week day dinner,At a party",15,15,None,N/A,coke,coca cola,"Friends,Strangers",None,Pizza
714598,4,5,5,"Week day dinner,At a party,Late night snack",4.5 cad,4.5,The Garfield Movie,garfield,Coca-cola,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,3,4,4,"Week day lunch,At a party,Late night snack",3 per slide,3,Garfield,garfield,Coke,coca cola,Friends,None,Pizza
612478,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7,7,Grown ups,grown ups,Diet coke,diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,4,Around 6-9 excluding condiments.,6-9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around $7~15 before tax.,7-15,N/A (I don't watch a lot of movies),N/A,Carbonated soft drink,carbonated soft drink,"Teachers,Strangers",A little (mild),Pizza
629710,3,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15,15,deadpool,deadpool,coke,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
502610,2,"There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total",4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 30-40 $,30-40,Cloudy with a chance of meatball,cloudy with a chance of meatballs,Coca cola zero,coca cola zero,"Parents,Siblings,Friends",None,Pizza
603476,4,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,whiplash,whiplash,coke,coca cola,"Parents,Siblings,Friends",None,Pizza
600957,2,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,6,Home alone,home alone,Water,water,Siblings,None,Pizza
713423,5,"Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me).",15,"Week day dinner,Weekend dinner,At a party",CA$15,15,Inside Out,inside out,Coke,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,"Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings). ",4-6,"Week day lunch,Week day dinner,Weekend lunch,At a party","Maybe 20$, for 14'' or 16''.",20,Teenage Mutant Ninja Turtles.,teenage mutant ninja turtles,"Orange juice, my favourite.",orange juice my favourite,Friends,None,Pizza
633234,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Avengers,avengers,Coke,coca cola,"Siblings,Friends,Teachers",None,Pizza
148179,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,7,None,N/A,Cola,coca cola,Friends,A little (mild),Pizza
715845,2,9,9,"Weekend dinner,At a party,Late night snack",$20,20,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,Coke,coca cola,Friends,None,Pizza
632153,3,"Around 10 or so, depending on the flavour",10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",At most $6,6,Ratatouille,ratatouille,Sparkling water,sparkling water,Friends,None,Pizza
606552,3,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice? Like 5 dollars.

For a whole pizza? 15 dollars",5,Superbad,superbad,Coca Cola,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
738409,3,4,4,At a party,3,3,stranger things,stranger things,pepsi,pepsi,"Teachers,Strangers",None,Pizza
612096,4,6,6,"Weekend dinner,At a party",4.99,4.99,Ratatouille,ratatouille,Sprite,sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,3,5,5,"Week day lunch,Week day dinner,At a party,Late night snack",15 dollars,15,Pizza (2012),N/A,Coke,coca cola,"Friends,Strangers",None,Pizza
632896,3,"I expect this food item to contain 10 ingredients.

 ",10,"Weekend lunch,At a party,Late night snack",I would expect to pay 7 dollars for 1 serving. ,7,Home Alone,home alone,Coke,coca cola,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,3,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12,12,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Coke,coca cola,Friends,None,Pizza
617542,4,"Varies depending on personal choice. Basic/Main ingredients can be around 3. Additional ingredients can be added, usually around 2-5. ",3-5,"Week day dinner,Weekend dinner,At a party,Late night snack",Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6.,15-30,Ninja Turtles,ninja turtles,Coke,coca cola,Friends,A little (mild),Pizza
719554,3,3,3,"Week day lunch,Late night snack",$5,5,None,N/A,Juice,juice,"Friends,Strangers",None,Pizza
627427,4,4,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",$5.00,5.00,Air Bud,air bud,Soda,soda,"Friends,Strangers",A little (mild),Pizza
411315,4,7,7,"Week day lunch,At a party,Late night snack",6,6,Deadpool,deadpool,coke,coca cola,"Friends,Strangers",A little (mild),Pizza
631507,4,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,5,A quiet place: day one (2024),a quiet place,Soda,soda,Friends,I will have some of this food item with my hot sauce,Pizza
627798,3,8,8,"Week day lunch,Weekend lunch,At a party,Late night snack",$6,6,Finding Nemo,finding nemo,Coca Cola,coca cola,Friends,A little (mild),Pizza
712093,4,10,10,"Week day lunch,Weekend lunch,At a party,Late night snack",15$,15,Avengers Endgame,avengers,Coca Cola,coca cola,"Teachers,Strangers",A little (mild),Pizza
627488,1,"yeast water flour egg salt (dough), cheese peporonni sausage other vegetables 

total: 10",10,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$5,5,Ratatouille,ratatouille,Soda,soda,"Friends,Teachers",A little (mild),Pizza
626493,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,6,My Cousin Vinny,my cousin vinny,San Pellegrino Sparkling Water,san pellegrino sparkling water,"Parents,Siblings,Friends,Teachers",None,Pizza
601363,2,"6-8 a simple pizza, can have many more ",6-8,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$12-$18,12-18,Garfield,garfield,A Ginger Ale,a ginger ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,4,8,8,"Weekend dinner,At a party,Late night snack",5,5,Garfield,garfield,Diet Coke,diet coke,Parents,None,Pizza
603398,3,10,10,"Weekend dinner,At a party,Late night snack",20 - 25 CAD,20-25,"Eat, Pray, Love",eat pray love,Coca-Cola,coca cola,Friends,A moderate amount (medium),Pizza
631012,4,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,Ratatouille,ratatouille,Coke,coca cola,"Parents,Siblings,Friends",None,Pizza
601848,3,6,6,"Week day lunch,Weekend dinner,At a party,Late night snack",$7,7,Ratatouille,ratatouille,Coke with lemon,coca cola with lemon,"Parents,Siblings,Friends,Teachers",None,Pizza
612131,2,5,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$2,2,Home Alone,home alone,Coca-cola,coca cola,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,3,5,5,"Week day lunch,Weekend lunch,At a party,Late night snack",5 dollars,5,Five Nights at Freddy's,five nights at freddys,soda,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,2,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15$ per pizza,15,No movie,N/A,A can of soda,a can of soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
601122,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,Home Alone,home alone,Coke,coca cola,"Parents,Siblings,Friends,Strangers",None,Pizza
602871,2,5,5,"Week day lunch,At a party",10 cad,10,Spider-Man 2,spiderman,Coke,coca cola,Friends,A little (mild),Pizza
520828,3,9,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Diet Coke,diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
514199,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,4,None,N/A,Nestea,nestea,Friends,None,Pizza
389697,4,6,6,"Week day dinner,Weekend dinner,At a party,Late night snack",10,10,Comedy,N/A,Coke,coca cola,"Friends,Teachers",A little (mild),Pizza
714430,3,10,10,"Week day lunch,Weekend lunch",10 dollars,10,iron man,iron man,orange juice,orange juice,Friends,A little (mild),Pizza
612567,4,6,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$20,20,Star Wars,star wars,Coca cola,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
744468,3,3,3,"Week day lunch,At a party",$3,3,Spider-Man,spiderman,Coke,coca cola,Friends,None,Pizza
502722,3,Around 6 ingredients in a basic cheese pizza recipe,6,"Weekend lunch,At a party",Around $2-4 for a slice of pizza is reasonable.,2-4,Any teenage mutant ninja turtle movie,teenage mutant ninja turtles,Soft cola or lemon drink,soft cola or lemon drink,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,3,10,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,The Dark Knight,the dark knight,Diet Coke,diet coke,Friends,None,Pizza
631125,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,6,Home Alone 2: Lost in New York,home alone,Coke,coca cola,"Parents,Siblings",None,Pizza
606119,2,"Flour, yeast, tomato sauce, cheese, pepperoni, (6-7?)",6-7,"Week day lunch,Weekend lunch,At a party,Late night snack",$5,5,Pulp fiction,pulp fiction,Coke,coca cola,Friends,None,Pizza
627252,3,8,8,"Week day dinner,Weekend dinner,At a party",$6,6,Ninja Turtles,ninja turtles,Water,water,"Siblings,Friends",None,Pizza
616568,3,at least 3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,20,fast and furious,fast and furious,soda,soda,"Parents,Siblings,Friends",A little (mild),Pizza
603838,2,5,5,"Weekend lunch,Weekend dinner",10,10,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,Soda,soda,Friends,A moderate amount (medium),Pizza
719735,4,"1. Dough

2. Sauce

3. Cheese

4. Your choice of protein

5. Vegetables (optional)",5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Spiderman 2,spiderman,Coke,coca cola,Friends,A little (mild),Pizza
608062,2,10,10,"Weekend dinner,At a party",$2.50,2.50,Spider man  ,spiderman,Coca cola ,coca cola,"Friends,Teachers",None,Pizza
608704,3,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,20,Home Alone,home alone,Coke,coca cola,"Parents,Siblings,Friends,Teachers",None,Pizza
520383,2,This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit.,3,"Week day lunch,Weekend dinner,At a party","$3.50, but I'm not sure about this because people don't often buy only one serving",3.50,I don't think of a movie when thinking of this food item,N/A,Coke,coca cola,"Friends,Teachers",A little (mild),Pizza
603793,3,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,15,Home Alone,home alone,soda,soda,"Friends,Strangers",A moderate amount (medium),Pizza
603933,3,"Around 4-5, including dough, tomato sauce, cheese, olive oil, and optional basil",4-5,At a party,3 dollars.,3,"""The Truman Show""",the truman show,sprite,sprite,Friends,None,Pizza
605519,3,6,6,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,5,I think of home alone. ,home alone,Dr. Pepper,dr pepper,"Friends,Teachers",A moderate amount (medium),Pizza
524803,3,4 or more,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.50,3.50,Breaking Bad,breaking bad,Soda,soda,"Friends,Teachers",None,Pizza
629712,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17,17,Interstellar,interstellar,Coca Cola,coca cola,Friends,A little (mild),Pizza
627505,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00,3.00,Rush Hour,rush hour,Pepsi,pepsi,"Parents,Siblings",None,Pizza
526131,3,"I would expect it to contain:

* Bread

* Cheese

* Tomato Sauce

* Possibly pepperoni

* Any other toppings",5,"Week day lunch,Weekend lunch,At a party,Late night snack",For one decently sized serving I would expect to pay $10 at most. This is based on how much I usually have to pay.,10,"I think about movies like ""Holes"" or ""Shrek"", since it reminds me of the movies teachers would put on for us during school events.",holes,I would pair sweet soft drinks like Coke or Pepsi with it. This is because of how it was usually served to me at school events.,coca cola or pepsi,"Friends,Teachers",None,Pizza
607065,4,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,Scooby Doo,scooby doo,Coke,coca cola,"Siblings,Friends",A little (mild),Pizza
500077,2,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,5,Back to the Future 2,back to the future,Diet coke,diet coke,Teachers,None,Pizza
633350,2,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4,4,Ratatouille,ratatouille,Coke,coca cola,"Friends,Teachers,Strangers",A little (mild),Pizza
601945,3,7,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22 CAD,22,Princess Diaries (the apology scene),princess diaries,Diet Coke,diet coke,"Parents,Friends,Teachers",A little (mild),Pizza
629878,3,"At least 3 (flour, olive oil, seasonings etc.)",3,"Weekend lunch,Weekend dinner,At a party",$2 to $5,2-5,WALL-E,wall-e,Water,water,Friends,A little (mild),Pizza
712766,4,A minimum of 5-10 ingredients are required.,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3-8 dollars for one portion.,3-8,Home alone,home alone,Soft drink,soft drink,"Siblings,Friends,Teachers",None,Pizza
603664,2,8,8,"Week day lunch,At a party",16,16,Ratatouille,ratatouille,coke,coca cola,Strangers,None,Pizza
840827,3,6,6,Week day dinner,$25,25,Avengers,avengers,Coke,coca cola,Friends,None,Pizza
604897,3,15,15,"Weekend lunch,At a party",25,25,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,soda,soda,"Friends,Teachers,Strangers",None,Pizza
525422,2,3,3,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,3.5,Spiderman,spiderman,Soda,soda,Friends,None,Pizza
602560,3,"I believe that it depends on what kind of pizza we are talking about but just talking about most conventional and simple pizza, I would say 3 - dough, cheese, and sauce. ",3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Again it depends a lot on the kind and size of pizza but talking about the most basic pizza, probably $25 !?",25,I think about a nice chill movie with Pizza maybe something like Hangover. ,hangover,"The only drink I ever have with pizza is coke i.e, Cola. ",coca cola,Friends,A moderate amount (medium),Pizza
738379,3,Around 7-10,7-10,"Weekend lunch,At a party",$15-$25,15-25,Teenage Mutant Ninja Turtles,teenage mutant ninja turtles,"Coke, iced tea.",coca cola ice tea,"Parents,Siblings,Friends",A little (mild),Pizza
622023,2,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3,3,Ninja Turtles,ninja turtles,Coke Zero,coca cola zero,Friends,None,Pizza
604770,4,8,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,5,spiderman,spiderman,coke,coca cola,Friends,A little (mild),Pizza
608318,2,4-7,4-7,"Week day dinner,Weekend dinner,At a party,Late night snack",$5,5,Ratatouille,ratatouille,wine,wine,Friends,None,Pizza
