"id","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)","Q2 Cleaned","Q3: In what setting would you expect this food to be served? Please check all that apply","Q4 Cleaned","Q5 Cleaned","Q6 Cleaned","Q7: When you think about this food item, who does it remind you of?","Q8: How much hot sauce would you add to this food item?","Label"
"497421","4","4.0","Weekend lunch,Weekend dinner,At a party","30.0","cloudy with a chance of meatballs","coca cola","Friends","N/A","Pizza"
"389328","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","goodfellas","red wine","Siblings,Friends","A moderate amount (medium)","Pizza"
"289931","3","5.0","Weekend lunch,Weekend dinner,At a party,Late night snack","7.0","a goofy movie","coca cola","Friends","A little (mild)","Pizza"
"620148","2","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","dead silence","sprite","Friends,Strangers","A moderate amount (medium)","Pizza"
"387155","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","la la land","water","Parents,Siblings,Friends,Strangers","A little (mild)","Pizza"
"516975","2","21.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","2.5","harry potter","coca cola","Friends","N/A","Pizza"
"630825","3","6.0","Week day dinner,At a party","8.0","transformer","soup","Parents","N/A","Pizza"
"614043","5","10.0","Week day dinner,Weekend dinner,At a party,Late night snack","15.0","ninja turtles","coca cola","Siblings,Friends","N/A","Pizza"
"521125","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","high school musical","root beer","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"627780","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","8.0","despicable me","coca cola","Friends,Teachers","N/A","Pizza"
"492744","3","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","teenage mutant ninja turtles","soda","Parents,Friends","A little (mild)","Pizza"
"618747","2","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","toy story","soft drinks for example up","Friends","N/A","Pizza"
"607815","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","30.0","the godfather","coca cola","Friends,Teachers","A little (mild)","Pizza"
"601609","4","10.0","Weekend dinner,At a party","6.0","spiderman","diet coke","Friends","N/A","Pizza"
"602657","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","N/A","coca cola","Friends,Teachers","N/A","Pizza"
"616449","4","3.0","Week day lunch,Week day dinner,Weekend dinner,At a party","5.0","teenage mutant ninja turtles","sparkling water","Parents,Friends","A little (mild)","Pizza"
"501893","4","5.0","Weekend lunch,Weekend dinner,At a party","22.5","fast and furious","coca cola","Siblings,Friends","N/A","Pizza"
"507448","3","5.0","Weekend dinner,At a party,Late night snack","20.0","teenage mutant ninja turtles","coca cola","Friends","A little (mild)","Pizza"
"606556","1","3.0","At a party","8.0","garfield","coca cola","Teachers","A little (mild)","Pizza"
"724326","3","11.0","Week day lunch,Weekend lunch,At a party","3.0","spiderman","coca cola and ice tea","Friends","N/A","Pizza"
"616945","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","ratatouille","coca cola","Teachers","A moderate amount (medium)","Pizza"
"630962","4","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","10.0","five nights at freddies","coca cola","Friends,Teachers","N/A","Pizza"
"715814","2","6.0","Week day lunch,Week day dinner,At a party","11.5","teenage mutant ninja turtles","all sorts of carbonated drinks eg coca cola pepsi mirinda series drinks fanta series drinks etc non carbonated drinks are not preferred when i am having pizzas","Parents,Friends,Teachers","A little (mild)","Pizza"
"502799","2","8.0","Weekend dinner,At a party","10.0","back to the future","ice tea","Parents,Siblings,Friends","N/A","Pizza"
"605278","2","4.0","Weekend dinner,At a party,Late night snack","4.0","godfather","coca cola","Friends,Teachers,Strangers","A little (mild)","Pizza"
"388888","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","mystic pizza","coca cola","Friends","A little (mild)","Pizza"
"519548","3","5.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","spiderman","coca cola","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"405521","4","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","futurama","coca cola","Friends","A moderate amount (medium)","Pizza"
"607410","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","13.0","iron man","orange fanta","Siblings,Teachers","N/A","Pizza"
"715795","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","13.0","life of pi","hot chocolate","Parents,Friends,Teachers","N/A","Pizza"
"625326","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","3.0","avengers","soda","Siblings,Friends,Teachers","A little (mild)","Pizza"
"627220","3","5.0","Week day lunch,Weekend dinner,At a party,Late night snack","6.5","despicable me","mountain dew","Friends","A little (mild)","Pizza"
"634964","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","spiderman","beer","Parents,Friends","N/A","Pizza"
"722500","3","10.0","Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","home alone","coca cola","Parents,Siblings,Friends,Teachers","A moderate amount (medium)","Pizza"
"602824","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","N/A","soda","Parents,Siblings,Friends","N/A","Pizza"
"618355","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","king kong","coca cola","Friends,Teachers,Strangers","N/A","Pizza"
"611097","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","home alone","coca cola","Siblings,Friends","A little (mild)","Pizza"
"634328","2","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","teenage mutant ninja turtles","soda","Parents,Siblings,Friends","N/A","Pizza"
"607160","2","10.0","At a party","15.0","cloudy with a chance of meatballs","diet coke","Teachers","A little (mild)","Pizza"
"728522","3","6.0","Week day dinner,Weekend dinner,At a party,Late night snack","12.0","N/A","diet pepsi","Siblings,Friends,Teachers","A lot (hot)","Pizza"
"718570","3","5.0","Week day lunch,Week day dinner,At a party","15.0","N/A","coca cola","Friends,Strangers","N/A","Pizza"
"714598","4","5.0","Week day dinner,At a party,Late night snack","4.5","garfield","coca cola","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"601950","3","4.0","Week day lunch,At a party,Late night snack","3.0","garfield","coca cola","Friends","N/A","Pizza"
"612478","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","7.0","grown ups","diet coke","Parents,Siblings,Friends","A moderate amount (medium)","Pizza"
"501416","4","7.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","11.0","N/A","carbonated soft drink","Teachers,Strangers","A little (mild)","Pizza"
"629710","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","15.0","deadpool","coca cola","Parents,Siblings,Friends","A little (mild)","Pizza"
"502610","2","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","35.0","cloudy with a chance of meatballs","coca cola zero","Parents,Siblings,Friends","N/A","Pizza"
"603476","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","whiplash","coca cola","Parents,Siblings,Friends","N/A","Pizza"
"600957","2","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","home alone","water","Siblings","N/A","Pizza"
"713423","5","15.0","Week day dinner,Weekend dinner,At a party","15.0","inside out","coca cola","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"722431","2","5.0","Week day lunch,Week day dinner,Weekend lunch,At a party","20.0","teenage mutant ninja turtles","orange juice my favourite","Friends","N/A","Pizza"
"633234","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","avengers","coca cola","Siblings,Friends,Teachers","N/A","Pizza"
"148179","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","7.0","N/A","coca cola","Friends","A little (mild)","Pizza"
"715845","2","9.0","Weekend dinner,At a party,Late night snack","20.0","cloudy with a chance of meatballs","coca cola","Friends","N/A","Pizza"
"632153","3","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","ratatouille","sparkling water","Friends","N/A","Pizza"
"606552","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","superbad","coca cola","Parents,Siblings,Friends","A little (mild)","Pizza"
"738409","3","4.0","At a party","3.0","stranger things","pepsi","Teachers,Strangers","N/A","Pizza"
"612096","4","6.0","Weekend dinner,At a party","5.0","ratatouille","sprite","Parents,Friends,Teachers","A lot (hot)","Pizza"
"743537","3","5.0","Week day lunch,Week day dinner,At a party,Late night snack","15.0","N/A","coca cola","Friends,Strangers","N/A","Pizza"
"632896","3","10.0","Weekend lunch,At a party,Late night snack","7.0","home alone","coca cola","Siblings,Friends,Strangers","A little (mild)","Pizza"
"605207","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","12.0","teenage mutant ninja turtles","coca cola","Friends","N/A","Pizza"
"617542","4","4.0","Week day dinner,Weekend dinner,At a party,Late night snack","22.5","ninja turtles","coca cola","Friends","A little (mild)","Pizza"
"719554","3","3.0","Week day lunch,Late night snack","5.0","N/A","juice","Friends,Strangers","N/A","Pizza"
"627427","4","4.0","Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack","5.0","air bud","soda","Friends,Strangers","A little (mild)","Pizza"
"411315","4","7.0","Week day lunch,At a party,Late night snack","6.0","deadpool","coca cola","Friends,Strangers","A little (mild)","Pizza"
"631507","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","a quiet place","soda","Friends","I will have some of this food item with my hot sauce","Pizza"
"627798","3","8.0","Week day lunch,Weekend lunch,At a party,Late night snack","6.0","finding nemo","coca cola","Friends","A little (mild)","Pizza"
"712093","4","10.0","Week day lunch,Weekend lunch,At a party,Late night snack","15.0","avengers","coca cola","Teachers,Strangers","A little (mild)","Pizza"
"627488","1","10.0","Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack","5.0","ratatouille","soda","Friends,Teachers","A little (mild)","Pizza"
"626493","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","my cousin vinny","san pellegrino sparkling water","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"601363","2","7.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","garfield","a ginger ale","Siblings,Friends,Teachers","A moderate amount (medium)","Pizza"
"712898","4","8.0","Weekend dinner,At a party,Late night snack","5.0","garfield","diet coke","Parents","N/A","Pizza"
"603398","3","10.0","Weekend dinner,At a party,Late night snack","22.5","eat pray love","coca cola","Friends","A moderate amount (medium)","Pizza"
"631012","4","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","ratatouille","coca cola","Parents,Siblings,Friends","N/A","Pizza"
"601848","3","6.0","Week day lunch,Weekend dinner,At a party,Late night snack","7.0","ratatouille","coca cola with lemon","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"612131","2","5.0","Week day dinner,Weekend dinner,At a party,Late night snack","2.0","home alone","coca cola","Parents,Siblings,Teachers","A little (mild)","Pizza"
"408630","3","5.0","Week day lunch,Weekend lunch,At a party,Late night snack","5.0","five nights at freddys","soda","Siblings,Friends,Teachers","A little (mild)","Pizza"
"632091","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","N/A","a can of soda","Parents,Siblings,Friends,Teachers","A moderate amount (medium)","Pizza"
"601122","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","home alone","coca cola","Parents,Siblings,Friends,Strangers","N/A","Pizza"
"602871","2","5.0","Week day lunch,At a party","10.0","spiderman","coca cola","Friends","A little (mild)","Pizza"
"520828","3","9.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","teenage mutant ninja turtles","diet coke","Siblings,Friends","A moderate amount (medium)","Pizza"
"514199","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","4.0","N/A","nestea","Friends","N/A","Pizza"
"389697","4","6.0","Week day dinner,Weekend dinner,At a party,Late night snack","10.0","N/A","coca cola","Friends,Teachers","A little (mild)","Pizza"
"714430","3","10.0","Week day lunch,Weekend lunch","10.0","iron man","orange juice","Friends","A little (mild)","Pizza"
"612567","4","6.0","Week day dinner,Weekend lunch,Weekend dinner,At a party","20.0","star wars","coca cola","Siblings,Friends","A moderate amount (medium)","Pizza"
"744468","3","3.0","Week day lunch,At a party","3.0","spiderman","coca cola","Friends","N/A","Pizza"
"502722","3","6.0","Weekend lunch,At a party","3.0","teenage mutant ninja turtles","soft cola or lemon drink","Siblings,Friends","I will have some of this food item with my hot sauce","Pizza"
"519681","3","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","the dark knight","diet coke","Friends","N/A","Pizza"
"631125","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","home alone","coca cola","Parents,Siblings","N/A","Pizza"
"606119","2","6.5","Week day lunch,Weekend lunch,At a party,Late night snack","5.0","pulp fiction","coca cola","Friends","N/A","Pizza"
"627252","3","8.0","Week day dinner,Weekend dinner,At a party","6.0","ninja turtles","water","Siblings,Friends","N/A","Pizza"
"616568","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","20.0","fast and furious","soda","Parents,Siblings,Friends","A little (mild)","Pizza"
"603838","2","5.0","Weekend lunch,Weekend dinner","10.0","teenage mutant ninja turtles","soda","Friends","A moderate amount (medium)","Pizza"
"719735","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","spiderman","coca cola","Friends","A little (mild)","Pizza"
"608062","2","10.0","Weekend dinner,At a party","2.5","spiderman","coca cola","Friends,Teachers","N/A","Pizza"
"608704","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","home alone","coca cola","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"520383","2","3.0","Week day lunch,Weekend dinner,At a party","3.5","N/A","coca cola","Friends,Teachers","A little (mild)","Pizza"
"603793","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","home alone","soda","Friends,Strangers","A moderate amount (medium)","Pizza"
"603933","3","4.5","At a party","3.0","the truman show","sprite","Friends","N/A","Pizza"
"605519","3","6.0","Week day dinner,Weekend dinner,At a party,Late night snack","5.0","home alone","dr pepper","Friends,Teachers","A moderate amount (medium)","Pizza"
"524803","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.5","breaking bad","soda","Friends,Teachers","N/A","Pizza"
"629712","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","17.0","interstellar","coca cola","Friends","A little (mild)","Pizza"
"627505","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","rush hour","pepsi","Parents,Siblings","N/A","Pizza"
"526131","3","5.0","Week day lunch,Weekend lunch,At a party,Late night snack","10.0","holes","coca cola or pepsi","Friends,Teachers","N/A","Pizza"
"607065","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","scooby doo","coca cola","Siblings,Friends","A little (mild)","Pizza"
"500077","2","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","back to the future","diet coke","Teachers","N/A","Pizza"
"633350","2","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","ratatouille","coca cola","Friends,Teachers,Strangers","A little (mild)","Pizza"
"601945","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","22.0","princess diaries","diet coke","Parents,Friends,Teachers","A little (mild)","Pizza"
"629878","3","3.0","Weekend lunch,Weekend dinner,At a party","3.5","walle","water","Friends","A little (mild)","Pizza"
"712766","4","7.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.5","home alone","soft drink","Siblings,Friends,Teachers","N/A","Pizza"
"603664","2","8.0","Week day lunch,At a party","16.0","ratatouille","coca cola","Strangers","N/A","Pizza"
"840827","3","6.0","Week day dinner","25.0","avengers","coca cola","Friends","N/A","Pizza"
"604897","3","15.0","Weekend lunch,At a party","25.0","teenage mutant ninja turtles","soda","Friends,Teachers,Strangers","N/A","Pizza"
"525422","2","3.0","Week day lunch,Weekend lunch,At a party,Late night snack","3.5","spiderman","soda","Friends","N/A","Pizza"
"602560","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","25.0","hangover","coca cola","Friends","A moderate amount (medium)","Pizza"
"738379","3","8.5","Weekend lunch,At a party","20.0","teenage mutant ninja turtles","coca cola ice tea","Parents,Siblings,Friends","A little (mild)","Pizza"
"622023","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","ninja turtles","coca cola zero","Friends","N/A","Pizza"
"604770","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","spiderman","coca cola","Friends","A little (mild)","Pizza"
"608318","2","5.5","Week day dinner,Weekend dinner,At a party,Late night snack","5.0","ratatouille","wine","Friends","N/A","Pizza"
"626757","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","spiderman","pop","Friends,Strangers","A lot (hot)","Pizza"
"745297","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","7.0","teenage mutant ninja turtles","coca cola","Parents,Friends,Teachers","N/A","Pizza"
"627599","4","6.0","Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","deadpool","diet coke","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"520037","2","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","home alone","coca cola","Friends,Teachers,Strangers","N/A","Pizza"
"632189","2","4.0","Week day lunch,Weekend lunch,At a party,Late night snack","3.0","spiderman","coca cola","Friends","N/A","Pizza"
"627636","3","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.5","spy kids","pepsi","Friends","N/A","Pizza"
"295428","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","squid game","soft drink","Siblings,Friends,Teachers,Strangers","N/A","Pizza"
"228777","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.5","running man","coca cola","Teachers","N/A","Pizza"
"609278","3","6.0","Week day lunch,Week day dinner,At a party,Late night snack","5.0","ratatouille","soda","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"614089","2","4.0","Week day dinner,Weekend dinner,At a party,Late night snack","20.0","the godfather","coca cola","Siblings","N/A","Pizza"
"607517","4","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","14.0","recep ivedik","coca cola","Siblings,Friends","A little (mild)","Pizza"
"714607","3","6.0","Week day lunch,Weekend dinner,At a party,Late night snack","5.0","venom","coca cola","Siblings,Friends","N/A","Pizza"
"716650","4","15.0","Week day dinner,At a party,Late night snack","3.8","the polar express","sprite or coca cola","Friends,Teachers,Strangers","A moderate amount (medium)","Pizza"
"497695","2","4.0","Weekend dinner,At a party,Late night snack","5.0","moneyball","soda","Friends","A little (mild)","Pizza"
"496858","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","1.5","home alone","kombucha","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"608688","2","3.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","2.5","inside out","soda","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"604386","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","20.0","ratatouille","soft drink","Parents,Friends","N/A","Pizza"
"628559","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","avengers","coca cola","Friends","N/A","Pizza"
"715152","3","7.0","Weekend lunch,Weekend dinner,At a party,Late night snack","7.0","hangover","coca cola pepsi","Friends","N/A","Pizza"
"604110","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","home alone","coca cola","Parents,Friends","N/A","Pizza"
"629010","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","coraline","nestea","Parents,Friends,Teachers,Strangers","A little (mild)","Pizza"
"605254","2","5.0","Week day dinner,At a party,Late night snack","4.0","N/A","diet coke","Friends","A moderate amount (medium)","Pizza"
"628990","3","5.0","Week day lunch,Week day dinner,At a party","6.0","life of pi","soda","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"625295","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","4.0","home alone","pop","Friends","N/A","Pizza"
"603415","3","6.0","Week day lunch,Weekend lunch,At a party,Late night snack","4.5","home alone","soda","Friends","A little (mild)","Pizza"
"635533","2","6.0","Week day lunch,Late night snack","15.0","james bond","coca cola","Friends","A little (mild)","Pizza"
"630389","1","3.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","spiderman","chocolate milk","Friends","A lot (hot)","Pizza"
"714901","4","7.0","Week day lunch,Weekend lunch,At a party","5.0","cloudy with a chance of meatballs","pepsi or any soda","Friends","A moderate amount (medium)","Pizza"
"629792","3","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","the goofy movie","pop","Parents,Siblings,Friends","N/A","Pizza"
"629025","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","teenage mutant ninja turtles","soda","Friends,Strangers","N/A","Pizza"
"524441","3","6.0","Week day lunch,Weekend lunch,At a party","10.0","teenage mutant ninja turtles","ginger ale","Siblings,Friends","N/A","Pizza"
"389109","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","18.0","cloudy with a chance of meatballs","canada dry ginger ale","Friends","N/A","Pizza"
"631216","2","5.0","Week day lunch,At a party","6.0","a quiet place","coca cola","Friends","A moderate amount (medium)","Pizza"
"738875","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","home alone","milk","Parents,Siblings,Friends,Teachers,Strangers","A little (mild)","Pizza"
"634669","1","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","2.3","carryon","sprite","Parents,Siblings,Friends,Teachers","N/A","Pizza"
"409940","3","6.0","Week day dinner,At a party","8.0","spiderman","diet coke","Parents,Friends","A moderate amount (medium)","Pizza"
"399605","2","5.0","Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack","5.0","teenage mutant ninja turtles","coca cola","Parents,Friends","N/A","Pizza"
"721831","4","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","home alone","coca cola","Parents,Siblings,Friends","N/A","Pizza"
"835223","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","4.0","set it up","coca cola","Friends,Strangers","A moderate amount (medium)","Pizza"
"712938","3","5.0","Week day dinner,Weekend dinner","15.0","green book","coca cola","Friends","N/A","Pizza"
"395712","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","6.0","teenage mutant ninja turtles","coca cola up crush","Friends,Teachers,Strangers","A moderate amount (medium)","Pizza"
"603388","2","7.0","Week day lunch,At a party,Late night snack","12.0","garfield","coca cola","Friends","A little (mild)","Pizza"
"617774","3","3.0","Week day lunch,Week day dinner,Weekend lunch,At a party","23.0","cars","ice tea","Parents,Teachers","N/A","Pizza"
"289440","3","5.0","Week day lunch,At a party,Late night snack","2.0","teenage mutant ninja turtles","coca cola","Friends,Strangers","A moderate amount (medium)","Pizza"
"714503","2","3.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","15.0","N/A","coca cola","Friends","I will have some of this food item with my hot sauce","Pizza"
"714893","2","5.0","Week day lunch,Weekend lunch,At a party","5.0","home alone","coca cola","Siblings,Friends","A moderate amount (medium)","Pizza"
"601094","2","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.5","teenage mutant ninja turtles","soda","Siblings,Friends","N/A","Pizza"
"618150","2","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","25.0","home alone","diet coke","Siblings,Friends","A moderate amount (medium)","Pizza"
